Total events in sample: 47527.4571043

Event count for each bin:
Pt: [395.9, 405.9], Eta: [2.0, 2.5]: -0.00300962921447
Pt: [400.7, 410.7], Eta: [1.9, 2.4]: 0.00106126756168
Pt: [351.2, 361.2], Eta: [1.6, 2.1]: 0.002599080629
Pt: [376.5, 386.5], Eta: [1.7, 2.2]: 0.0029662888569
Pt: [376.1, 386.1], Eta: [1.9, 2.4]: 0.00385245538917
Pt: [433.3, 443.3], Eta: [1.6, 2.1]: 0.002599080629
Pt: [462.0, 472.0], Eta: [1.9, 2.4]: 0.00295894149107
Pt: [350.4, 360.4], Eta: [1.7, 2.2]: 0.00292494130153
Pt: [430.7, 440.7], Eta: [1.6, 2.1]: 0.00387273167208
Pt: [377.8, 387.8], Eta: [2.0, 2.5]: 0.00313666918298
Pt: [454.2, 464.2], Eta: [1.6, 2.1]: 0.00331956707766
Pt: [410.3, 420.3], Eta: [1.6, 2.1]: 0.00194646007191
Pt: [477.2, 487.2], Eta: [2.0, 2.5]: 0.00344393669121
Pt: [350.5, 360.5], Eta: [2.2, 2.7]: 0.0035836555707
Pt: [354.8, 364.8], Eta: [1.6, 2.1]: -0.00300962921447
Pt: [467.3, 477.3], Eta: [1.9, 2.4]: -0.00370191292952
Pt: [468.8, 478.8], Eta: [2.0, 2.5]: -0.0035836555707
Pt: [405.3, 415.3], Eta: [1.8, 2.3]: 0.00270113064469
Pt: [369.7, 379.7], Eta: [2.0, 2.5]: -0.00331956707766
Pt: [366.8, 376.8], Eta: [1.8, 2.3]: -0.00385245538917
Pt: [398.6, 408.6], Eta: [2.3, 2.8]: 0.0030731505841
Pt: [392.4, 402.4], Eta: [2.1, 2.6]: 0.00331956707766
Pt: [364.1, 374.1], Eta: [2.0, 2.5]: 0.00289721044643
Pt: [376.4, 386.4], Eta: [2.0, 2.5]: 0.00393678822099
Pt: [382.3, 392.3], Eta: [2.0, 2.5]: -0.00298337026226
Pt: [484.4, 494.4], Eta: [2.3, 2.8]: 0.00295894149107
Pt: [358.9, 368.9], Eta: [2.2, 2.7]: 0.0030731505841
Pt: [383.9, 393.9], Eta: [1.8, 2.3]: 0.00303105684685
Pt: [371.7, 381.7], Eta: [1.9, 2.4]: 0.00303105684685
Pt: [387.5, 397.5], Eta: [1.7, 2.2]: 0.00344393669121
Pt: [363.9, 373.9], Eta: [1.6, 2.1]: 0.00121921813033
Pt: [366.5, 376.5], Eta: [1.6, 2.1]: 0.00344393669121
Pt: [438.3, 448.3], Eta: [1.9, 2.4]: 0.00303105684685
Pt: [471.7, 481.7], Eta: [1.7, 2.2]: -0.00504662687306
Pt: [393.1, 403.1], Eta: [2.2, 2.7]: 0.00294933682383
Pt: [379.6, 389.6], Eta: [2.0, 2.5]: 0.00387273167208
Pt: [380.5, 390.5], Eta: [1.8, 2.3]: -0.0029662888569
Pt: [373.2, 383.2], Eta: [1.6, 2.1]: -0.00285129436535
Pt: [355.5, 365.5], Eta: [1.8, 2.3]: 0.00381358530256
Pt: [407.2, 417.2], Eta: [2.2, 2.7]: 0.0035836555707
Pt: [365.4, 375.4], Eta: [1.7, 2.2]: -0.00388902533446
Pt: [365.7, 375.7], Eta: [2.2, 2.7]: 0.0035836555707
Pt: [392.4, 402.4], Eta: [1.8, 2.3]: 0.00313666918298
Pt: [433.9, 443.9], Eta: [1.7, 2.2]: 0.00313666918298
Pt: [361.7, 371.7], Eta: [1.9, 2.4]: 0.00298337026226
Pt: [426.1, 436.1], Eta: [1.7, 2.2]: 0.0030731505841
Pt: [354.3, 364.3], Eta: [1.8, 2.3]: 0.0029662888569
Pt: [428.4, 438.4], Eta: [1.6, 2.1]: 0.0029662888569
Pt: [351.8, 361.8], Eta: [2.0, 2.5]: -0.00385245538917
Pt: [368.6, 378.6], Eta: [1.6, 2.1]: 0.00295894149107
Pt: [438.3, 448.3], Eta: [2.0, 2.5]: 0.003934800534
Pt: [397.3, 407.3], Eta: [2.4, 2.9]: -0.00292494130153
Pt: [484.5, 494.5], Eta: [2.0, 2.5]: 0.00279670756991
Pt: [350.0, 360.0], Eta: [1.7, 2.2]: 0.00385245538917
Pt: [435.8, 445.8], Eta: [1.6, 2.1]: -0.00393678822099
Pt: [437.4, 447.4], Eta: [1.9, 2.4]: -0.00331956707766
Pt: [377.0, 387.0], Eta: [2.5, 3.0]: -0.00289721044643
Pt: [408.9, 418.9], Eta: [1.6, 2.1]: 0.0030731505841
Pt: [448.8, 458.8], Eta: [1.8, 2.3]: 0.00213462599784
Pt: [458.1, 468.1], Eta: [1.6, 2.1]: 0.00398299693495
Pt: [438.7, 448.7], Eta: [1.7, 2.2]: -0.0030731505841
Pt: [365.8, 375.8], Eta: [1.8, 2.3]: 0.00344393669121
Pt: [401.1, 411.1], Eta: [1.6, 2.1]: 0.00270113064469
Pt: [469.0, 479.0], Eta: [1.6, 2.1]: 0.00322324695444
Pt: [453.1, 463.1], Eta: [2.1, 2.6]: 0.0035836555707
Pt: [363.7, 373.7], Eta: [1.7, 2.2]: 0.00388514544447
Pt: [376.1, 386.1], Eta: [1.6, 2.1]: 0.002599080629
Pt: [371.9, 381.9], Eta: [1.6, 2.1]: 0.0030731505841
Pt: [366.9, 376.9], Eta: [2.3, 2.8]: 0.00313666918298
Pt: [391.7, 401.7], Eta: [1.7, 2.2]: -0.00303105684685
Pt: [364.5, 374.5], Eta: [1.7, 2.2]: -0.00344393669121
Pt: [446.0, 456.0], Eta: [1.7, 2.2]: 0.00385245538917
Pt: [361.5, 371.5], Eta: [2.2, 2.7]: 0.0029662888569
Pt: [432.3, 442.3], Eta: [2.3, 2.8]: -0.00504662687306
Pt: [376.6, 386.6], Eta: [2.1, 2.6]: -0.00370191292952
Pt: [361.1, 371.1], Eta: [1.7, 2.2]: 0.00300962921447
Pt: [390.1, 400.1], Eta: [2.2, 2.7]: 0.00331956707766
Pt: [380.1, 390.1], Eta: [1.9, 2.4]: 0.00300962921447
Pt: [368.3, 378.3], Eta: [2.1, 2.6]: 0.00285129436535
Pt: [353.0, 363.0], Eta: [1.7, 2.2]: 0.0035836555707
Pt: [388.2, 398.2], Eta: [1.8, 2.3]: -0.00387273167208
Pt: [358.2, 368.2], Eta: [1.7, 2.2]: 0.00298337026226
Pt: [390.4, 400.4], Eta: [2.2, 2.7]: 0.00313666918298
Pt: [445.7, 455.7], Eta: [1.7, 2.2]: 0.00331956707766
Pt: [378.8, 388.8], Eta: [2.1, 2.6]: 0.00303105684685
Pt: [427.4, 437.4], Eta: [1.9, 2.4]: 0.00303105684685
Pt: [392.6, 402.6], Eta: [1.6, 2.1]: -0.00370191292952
Pt: [366.1, 376.1], Eta: [2.5, 3.0]: 0.00213462599784
Pt: [442.8, 452.8], Eta: [2.4, 2.9]: 0.00285129436535
Pt: [361.4, 371.4], Eta: [1.7, 2.2]: 0.00344393669121
Pt: [379.3, 389.3], Eta: [1.6, 2.1]: -0.00270113064469
Pt: [362.9, 372.9], Eta: [1.9, 2.4]: -0.00381358530256
Pt: [452.7, 462.7], Eta: [2.1, 2.6]: 0.00294933682383
Pt: [425.9, 435.9], Eta: [2.0, 2.5]: -0.00300962921447
Pt: [426.3, 436.3], Eta: [1.9, 2.4]: 0.00344393669121
Pt: [376.3, 386.3], Eta: [1.7, 2.2]: -0.00381358530256
Pt: [488.1, 498.1], Eta: [2.1, 2.6]: -0.00313666918298
Pt: [484.5, 494.5], Eta: [1.7, 2.2]: 0.00294933682383
Pt: [476.3, 486.3], Eta: [1.8, 2.3]: -0.00139200399246
Pt: [367.6, 377.6], Eta: [1.8, 2.3]: 0.00292494130153
Pt: [368.2, 378.2], Eta: [1.9, 2.4]: 0.00289721044643
Pt: [369.8, 379.8], Eta: [2.3, 2.8]: 0.00370191292952
Pt: [400.4, 410.4], Eta: [2.1, 2.6]: 0.00298337026226
Pt: [351.8, 361.8], Eta: [1.6, 2.1]: 0.00303105684685
Pt: [383.9, 393.9], Eta: [2.0, 2.5]: -0.00303105684685
Pt: [362.3, 372.3], Eta: [1.8, 2.3]: -0.00295894149107
